pdf_path,pdf_basename,policy_id,policy_level,policy_type,state_list,county_list,city_list,tribe_list,pages_seen,text_pages,toc_pages,figure_pages,form_pages,cover_pages,ocr_conf_mean,ocr_low_conf_ratio,headings_per_page_mean,final_chunks,median_chunk_tokens,p10_chunk_tokens,p90_chunk_tokens,small_chunk_ratio_lt220
/scratch/xt2284/pdf_data/data/New Mexico/County/820448de31__Chavez-County-Comprehensive-Plan.pdf,820448de31__Chavez-County-Comprehensive-Plan.pdf,820448de31d5bbcd5ce21b6eaa5e1d797c006036,County,Comprehensive Plan,"[""New Mexico""]","[""Chaves""]",[],[],136,134,0,2,0,0,0.9866349445948779,0.012952352669217012,4.0,45,1040.0,832.0,1175.6,0.0
/scratch/xt2284/pdf_data/data/New Mexico/County/8d80797193__hazard_mitigation.pdf,8d80797193__hazard_mitigation.pdf,8d8079719390b123b3356f77ac9f2bbcc4d063d7,County,Hazard Mitigation Plan,"[""New Mexico""]","[""Rio Arriba""]",[],[],241,241,0,0,0,0,0.9307545895174588,0.15409575704458467,,72,1040.0,640.3,1188.7,0.027777777777777776
/scratch/xt2284/pdf_data/data/New Mexico/County/8de116d061__Final_2022_Colfax_CWPP_signed.pdf,8de116d061__Final_2022_Colfax_CWPP_signed.pdf,8de116d0611cf37580780c6948300690e72b32cc,County,"Comprehensive Plan, Wildfire","[""New Mexico""]","[""Colfax""]",[],[],95,92,0,3,0,0,0.9838224769008577,0.01836793228028593,1.6101694915254237,42,591.5,290.0,1051.3,0.07142857142857142
/scratch/xt2284/pdf_data/data/New Mexico/County/a3865044f6__May%202025%20Torrance%20County%20New%20Mexico%20Local%20Hazard%20Mitigation%20Plan%20Update.pdf,a3865044f6__May%202025%20Torrance%20County%20New%20Mexico%20Local%20Hazard%20Mitigation%20Plan%20Update.pdf,a3865044f634225771fc47f56858900a18a1e775,County,Hazard Mitigation Plan,"[""New Mexico""]","[""Torrance""]",[],[],228,225,0,3,0,0,0.9835112835761081,0.01902827031027738,1.41,113,561.0,270.0,1069.0,0.02654867256637168
/scratch/xt2284/pdf_data/data/New Mexico/County/cd6e901ca8__McKinley-County-HMP-Final-10142014.pdf,cd6e901ca8__McKinley-County-HMP-Final-10142014.pdf,cd6e901ca89224dc8bb353cad6d543224ccc0f35,County,Comprehensive Plan,"[""New Mexico""]","[""McKinley""]",[],[],364,326,0,38,0,0,0.9760962529817443,0.03466450639398453,2.4011976047904193,140,471.5,257.1,1050.7,0.07857142857142857
/scratch/xt2284/pdf_data/data/New Mexico/County/ce32420426__DeBacaFinalCWPP2.pdf,ce32420426__DeBacaFinalCWPP2.pdf,ce32420426a8aaaa5980f662f15e6ce7fc66e7f7,County,Wildfire,"[""New Mexico""]","[""De Baca""]",[],[],177,166,0,11,0,0,0.9680926218551577,0.05812279193679587,2.15625,76,401.0,198.5,703.0,0.13157894736842105
/scratch/xt2284/pdf_data/data/New Mexico/County/d42f4eb031__20210812_CibolaEISVol3-WEB-508.pdf,d42f4eb031__20210812_CibolaEISVol3-WEB-508.pdf,d42f4eb031c08c970d8eec8632555eb18ac51092,County,Environmental Programs,"[""New Mexico""]","[""Cibola""]",[],[],203,201,0,2,0,0,0.9922216989384913,0.0008115919531680784,1.1953125,108,754.0,642.7,1170.6,0.0
/scratch/xt2284/pdf_data/data/New Mexico/County/e543260c36__Curry-Action-Plan.pdf,e543260c36__Curry-Action-Plan.pdf,e543260c36cb4bb3ee65089d5d87cba81640843f,County,nan,"[""New Mexico""]","[""Curry""]",[],[],71,62,0,9,0,0,0.9910955910660325,0.0014007542522896945,0.8135593220338984,37,409.0,253.2,737.8,0.02702702702702703
/scratch/xt2284/pdf_data/data/New Mexico/County/f56ad91ff3__Hidalgo-Comp-Plan-Dec_2011.pdf,f56ad91ff3__Hidalgo-Comp-Plan-Dec_2011.pdf,f56ad91ff35ba820ef49beeae05c9ea11aeec23f,County,Comprehensive Plan,"[""New Mexico""]","[""Hidalgo""]",[],[],129,127,0,2,0,0,0.9853124498449541,0.01492995513140672,2.4649122807017543,64,364.0,231.0,859.6000000000003,0.0625
/scratch/xt2284/pdf_data/data/New Mexico/Tribe/067ee46c19__pueblo-of-tesuque-pcap.pdf,067ee46c19__pueblo-of-tesuque-pcap.pdf,067ee46c19775492e21def1f8050da6821a42593,Tribe,Climate,"[""New Mexico""]","[""Santa Fe""]",[],"[""Tesuque Pueblo""]",96,95,0,1,0,0,0.9895380504146335,0.009200202657650057,1.9666666666666666,30,425.5,279.8,1029.0,0.03333333333333333
/scratch/xt2284/pdf_data/data/New Mexico/Tribe/0eeaa65ff4__pueblo-of-sandia-pcap.pdf,0eeaa65ff4__pueblo-of-sandia-pcap.pdf,0eeaa65ff4fdeb8d9b03a065d4b6ddbacd81be9d,Tribe,Climate,"[""New Mexico""]","[""Sandoval""]",[],"[""Sandia Pueblo""]",41,40,0,1,0,0,0.9903541042182546,0.005257059264262413,1.4242424242424243,14,436.5,263.3,846.5000000000001,0.07142857142857142
/scratch/xt2284/pdf_data/data/New Mexico/Tribe/22b520dec6__picuris_pueblo_hammond_sand2022-16653.pdf,22b520dec6__picuris_pueblo_hammond_sand2022-16653.pdf,22b520dec691933d4f21db7b6a8390aed977fb5d,Tribe,Energy,"[""New Mexico""]","[""Taos""]",[],"[""Picuris Pueblo""]",24,21,0,3,0,0,0.9783944339598758,0.03608436187471443,1.1176470588235294,14,336.5,147.5,431.1,0.2857142857142857
/scratch/xt2284/pdf_data/data/New Mexico/Tribe/26a7f60261__zia_pueblo_final_report_ee0005628.pdf,26a7f60261__zia_pueblo_final_report_ee0005628.pdf,26a7f602615b98b6f5d1619b71b88f377117c65f,Tribe,Energy,"[""New Mexico""]","[""Sandoval""]",[],"[""Zia Pueblo""]",256,246,0,10,0,0,0.9843438535238427,0.016102276972965766,1.7,109,494.0,227.4,1076.2,0.09174311926605505
/scratch/xt2284/pdf_data/data/New Mexico/Tribe/4810c9cfd6__IFD-Isleta-HMP-FInal-Draft-6-9-2022-2.pdf,4810c9cfd6__IFD-Isleta-HMP-FInal-Draft-6-9-2022-2.pdf,4810c9cfd613ae84c0bfd6eecc45a5f84654e2c8,Tribe,Hazard Mitigation Plan,"[""New Mexico""]","[""Valencia"", ""Bernalillo""]",[],"[""Isleta Pueblo""]",52,47,0,4,0,1,0.9786507957985207,0.03303441570113679,1.56,20,430.0,206.1,1086.0,0.15
/scratch/xt2284/pdf_data/data/New Mexico/Tribe/5abc0f2a17__acoma-wqs.pdf,5abc0f2a17__acoma-wqs.pdf,5abc0f2a17a4063ad73a52ec55d7023a7e3fb2cd,Tribe,Water,"[""New Mexico""]","[""Cibola""]",[],"[""Acoma Pueblo""]",60,53,0,6,0,1,0.9776224956891953,0.027372442082737654,1.3409090909090908,22,692.0,327.3,1067.8000000000002,0.045454545454545456
/scratch/xt2284/pdf_data/data/New Mexico/Tribe/80aae511fc__Navajo Nation Community Leaders Climate Change report.pdf,80aae511fc__Navajo Nation Community Leaders Climate Change report.pdf,80aae511fc06786e66dbff5ef3933640398d1d40,Tribe,Climate,"[""New Mexico""]","[""E-Bernalillo"", ""G-Cibola"", ""L-Socorro"", ""D-Sandoval"", ""B-Rio Arriba"", ""H-McKinley"", ""K-San Juan""]",[],"[""Navajo Nation E"", ""G"", ""D"", ""B"", ""K"", ""L"", ""H""]",58,52,0,6,0,0,0.9821801209210202,0.014334210728161345,1.2222222222222223,19,543.0,207.0,1092.3999999999999,0.15789473684210525
/scratch/xt2284/pdf_data/data/Oklahoma/City/11 Environment.pdf,11 Environment.pdf,35a4331e664795716a4a94879daf333eaa6e1aa3,City,nan,"[""Oklahoma""]",[],"[""Duncan City""]",[],7,6,0,1,0,0,0.9887261393347899,0.006211180124223602,1.6666666666666667,4,396.5,331.8,506.0,0.0
/scratch/xt2284/pdf_data/data/Oklahoma/City/2016-06-03 Ardmore HMP.pdf,2016-06-03 Ardmore HMP.pdf,9d4862647cb16589bd97ea161626621d819cc491,City,nan,"[""Oklahoma""]",[],"[""Ardmore City""]",[],303,298,0,5,0,0,0.978854186487429,0.030071505511580537,1.6379310344827587,68,817.5,281.8,1155.3,0.014705882352941176
/scratch/xt2284/pdf_data/data/Oklahoma/City/20a0910ebd__Tulsa MSA-PCAP.pdf,20a0910ebd__Tulsa MSA-PCAP.pdf,20a0910ebd3c8aafcfaa1ada7f8ad6413354681c,City,Climate Change,"[""Oklahoma""]","[""Tulsa""]","[""Tulsa City""]",[],37,36,0,1,0,0,0.9861701972434265,0.01050064112512841,1.3333333333333333,14,732.0,220.8,1182.0,0.14285714285714285
/scratch/xt2284/pdf_data/data/Oklahoma/City/5a41cf6e0e__2021 Altus AFB INRMP_1.pdf,5a41cf6e0e__2021 Altus AFB INRMP_1.pdf,5a41cf6e0ecd633a982e1fb25fdf1b46f890751b,City,nan,"[""Oklahoma""]",[],"[""Altus City""]",[],156,155,0,1,0,0,0.9869881984743307,0.008674185390956575,2.229357798165138,63,511.0,267.6,1038.4000000000003,0.031746031746031744
/scratch/xt2284/pdf_data/data/Oklahoma/City/62f446f223__1.pdf,62f446f223__1.pdf,62f446f22334012d0bcdce2454e388fc79571bb0,City,nan,"[""Oklahoma""]",[],"[""McAlester City""]",[],485,479,0,6,0,0,0.9695889619296226,0.057539698837534715,1.3308550185873607,221,540.0,305.0,1053.0,0.01809954751131222
/scratch/xt2284/pdf_data/data/Oklahoma/City/Dolese Stormwater Detention Basin Emergency Action Plan (PDF).pdf,Dolese Stormwater Detention Basin Emergency Action Plan (PDF).pdf,00d2022e1ebc9dfd77125c99dd14bc7e835c8f04,City,nan,"[""Oklahoma""]",[],"[""Lawton City""]",[],57,53,0,3,1,0,0.9680292490226935,0.05882020636025213,1.5862068965517242,19,429.0,227.6,596.0,0.10526315789473684
/scratch/xt2284/pdf_data/data/Oklahoma/City/EOP2019_202006111526363860.pdf,EOP2019_202006111526363860.pdf,1691c508acd2b956e38ab4c2bd30b9522a21c5c2,City,nan,"[""Oklahoma""]",[],"[""Sand Springs City""]",[],195,188,0,5,1,1,0.9856964815393879,0.01843920353110416,2.179190751445087,59,373.0,217.4,718.2000000000003,0.1016949152542373
/scratch/xt2284/pdf_data/data/Oklahoma/City/Low Impact Development Manual 2010.PDF,Low Impact Development Manual 2010.PDF,f687a1308916ba76374a2465a2c5c230ea4b8c06,City,nan,"[""Oklahoma""]",[],"[""Broken Arrow City""]",[],56,55,0,0,0,1,0.9902881336782655,0.009191951589867303,1.471698113207547,37,297.0,244.0,497.6,0.05405405405405406
/scratch/xt2284/pdf_data/data/Oklahoma/City/hazard-mitigation-plan-2020-final-20200514.pdf,hazard-mitigation-plan-2020-final-20200514.pdf,051faa0867d95743674f1ef75c1c9d5935c2e54d,City,nan,"[""Oklahoma""]",[],"[""Moore City""]",[],157,146,0,10,1,0,0.9823282343195051,0.014344264346422308,1.2638888888888888,62,477.0,90.10000000000001,1013.0,0.16129032258064516
/scratch/xt2284/pdf_data/data/Oklahoma/County/04d2f3fe44__HazardMitigationPlan.pdf,04d2f3fe44__HazardMitigationPlan.pdf,04d2f3fe44c57289a97c1837c2a31201fdad880d,County,nan,"[""Oklahoma""]","[""Pontotoc""]",[],[],307,301,0,6,0,0,0.976263334211684,0.03302483647071832,2.006060606060606,111,443.0,223.0,1014.0,0.09009009009009009
/scratch/xt2284/pdf_data/data/Oklahoma/County/051faa0867__McClain-County-Hazard-Mitigation-Plan-2021.pdf,051faa0867__McClain-County-Hazard-Mitigation-Plan-2021.pdf,051faa0867d95743674f1ef75c1c9d5935c2e54d,County,nan,"[""Oklahoma""]","[""McClain""]",[],[],203,186,0,17,0,0,0.9788454864216777,0.02345083187023334,1.7230769230769232,60,831.0,291.90000000000003,1175.4,0.016666666666666666
/scratch/xt2284/pdf_data/data/Oklahoma/County/10e62a2fdf__2024-2029 Jackson County HMP FINAL.pdf,10e62a2fdf__2024-2029 Jackson County HMP FINAL.pdf,10e62a2fdf87fb27059fe78a55b1e49da307c0de,County,nan,"[""Oklahoma""]","[""Jackson""]",[],[],228,227,1,0,0,0,0.9726884284959469,0.04051337499224834,3.2142857142857144,55,1006.0,807.0,1142.0,0.03636363636363636
/scratch/xt2284/pdf_data/data/Oklahoma/County/1f913afdf3__Climate_Miami.pdf,1f913afdf3__Climate_Miami.pdf,1f913afdf3dcb30fc15892977120adfc62c1ac37,County,nan,"[""Oklahoma""]","[""Ottawa""]",[],[],17,17,0,0,0,0,0.9879645534422883,0.011060192405881367,,7,839.0,691.6,1119.6,0.0
/scratch/xt2284/pdf_data/data/Oklahoma/County/42fc4cbfca__Murray-County-AHMP.pdf,42fc4cbfca__Murray-County-AHMP.pdf,42fc4cbfca7175be9b4e11b1adc7cb7316209e93,County,nan,"[""Oklahoma""]","[""Murray""]",[],[],151,144,0,6,0,1,0.969704651086858,0.056720698390103574,1.5905511811023623,85,373.0,280.0,741.0000000000005,0.023529411764705882
/scratch/xt2284/pdf_data/data/Oklahoma/County/457d5036d2__60a4c07d351ec85298a81a760509f5633db7f0ad.pdf,457d5036d2__60a4c07d351ec85298a81a760509f5633db7f0ad.pdf,457d5036d204d7dd867b46b06ffead963fdcb843,County,nan,"[""Oklahoma""]","[""Logan""]",[],[],144,130,0,14,0,0,0.9796225154811348,0.026294797019187535,2.027027027027027,38,400.0,282.2,1162.2,0.05263157894736842
/scratch/xt2284/pdf_data/data/Oklahoma/County/480987ecd9__beaver-county-climate-resilience-express-action-plan.pdf,480987ecd9__beaver-county-climate-resilience-express-action-plan.pdf,480987ecd98ee9dc4ec6f5d66e181eb902a78370,County,nan,"[""Oklahoma""]","[""Beaver""]",[],[],47,45,0,2,0,0,0.9806919166066116,0.023522132683661275,1.4583333333333333,19,428.0,106.0,933.1999999999999,0.2631578947368421
/scratch/xt2284/pdf_data/data/Oklahoma/County/52be878317__Beaver-County-Hazard-Mitigation-Plan.pdf,52be878317__Beaver-County-Hazard-Mitigation-Plan.pdf,52be878317afc468d568ab259ddc14cbd201f3bd,County,nan,"[""Oklahoma""]","[""Beaver""]",[],[],108,108,0,0,0,0,0.9750249670094888,0.04294235999351272,1.2941176470588236,43,499.0,299.2,1119.2,0.023255813953488372
/scratch/xt2284/pdf_data/data/Oklahoma/County/65d6821463__EufaulaDraftEAtoSMPSupplement.pdf,65d6821463__EufaulaDraftEAtoSMPSupplement.pdf,65d6821463958fc757faa662b7f21f7533f1c348,County,nan,"[""Oklahoma""]","[""Latimer"", ""McIntosh"", ""Muskogee"", ""Okmulgee"", ""Osage""]",[],[],130,122,0,8,0,0,0.9887601928042432,0.006349655287132601,1.9591836734693877,56,430.0,223.5,923.0,0.10714285714285714
/scratch/xt2284/pdf_data/data/Oklahoma/County/747f08519a__idc1-030671.pdf,747f08519a__idc1-030671.pdf,747f08519a5b466e92e5953a7802887c5d1bac50,County,nan,"[""Oklahoma""]","[""Osage""]",[],[],558,524,0,32,2,0,0.9332256904820199,0.14646098731374665,1.908256880733945,175,474.0,207.0,980.4,0.12
/scratch/xt2284/pdf_data/data/Oklahoma/County/88fe449f1b__HARPER-CO-HMPU-FINAL.pdf,88fe449f1b__HARPER-CO-HMPU-FINAL.pdf,88fe449f1bde26c9aa1108ab8efa22d629c9c94c,County,nan,"[""Oklahoma""]","[""Harper""]",[],[],106,105,0,1,0,0,0.9761482141888406,0.042506610318131,1.4523809523809523,46,431.0,269.0,1067.0,0.06521739130434782
/scratch/xt2284/pdf_data/data/Oklahoma/County/8e53b1bca8__Osage-HMP-Draft-2018-web.pdf,8e53b1bca8__Osage-HMP-Draft-2018-web.pdf,8e53b1bca8b63130353f8b5f50c33cc39078bdfb,County,nan,"[""Oklahoma""]","[""Osage""]",[],[],453,443,0,10,0,0,0.970998921799094,0.0535434490064129,2.1228070175438596,149,604.0,261.0,1104.6000000000004,0.03355704697986577
/scratch/xt2284/pdf_data/data/Oklahoma/County/9715965f8d__Kaw_Draft_MasterPlan_08DEC2025.pdf,9715965f8d__Kaw_Draft_MasterPlan_08DEC2025.pdf,9715965f8d62d2dd35d68c8c95a1aa3b13c42ced,County,nan,"[""Oklahoma""]","[""Kay""]",[],[],388,371,0,17,0,0,0.9846573338059731,0.012474844078295818,1.8859649122807018,122,557.5,266.7,1110.9,0.04918032786885246
