title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Request for Information Regarding Resilience Measures and Insurance Coverage,Notice,Housing and Urban Development Department,"Homeowners and housing providers have experienced significant increases in property insurance premiums and deductibles in the past several years, along with reductions in insurance coverage, added requirements, and withdrawals of insurance companies from certain markets. In July 2024, HUD convened an insurance summit to address challenges in the property insurance market. The insurance summit highlighted the need to increase property resilience to natural hazards and to clarify the relationship between resilience measures and costs to property owners, including the cost of insurance. Through this Request for Information (RFI), HUD seeks public input regarding how best to assess measures to increase the resilience of residential properties to natural hazards and extreme weather. This information will allow HUD to develop policies that better support HUD's program participants in increasing resilience to natural hazards, including extreme weather, and accessing affordable insurance for their properties.",89 FR 106551, 2024-30936,https://www.federalregister.gov/documents/2024/12/30/2024-30936/request-for-information-regarding-resilience-measures-and-insurance-coverage,https://www.govinfo.gov/content/pkg/FR-2024-12-30/pdf/2024-30936.pdf,12/30/2024
Announcement of Funding Awards,Notice,Housing and Urban Development Department,"In accordance with section 102(a)(4)(C) of the Department of Housing and Urban Development Reform Act of 1989, this announcement notifies the public of funding decisions made by the Department in competitions for funding under the Notices of Funding Opportunity (NOFOs) and Notices for the following program(s): Authority to Accept Unsolicited Proposals for Research Partnerships, Impact Evaluation of the Emergency Rental Assistance (ERA), FY22 HUDRD CDBG Disaster Recovery Outcomes of Renter Households, FY22 HUDRD--Exploring the Feasibility of Linking Eviction Records to Administrative Databases for HUD's Housing Choice Voucher Program, FY21 Eviction Protection Grant Program Rounds 1 and 2, FY21 HBCU Research Center of Excellence, FY22 HUDRD-HBCU Research Center of Excellence, FY22 HUDRD--Wildfire Recovery and Resilience, FY22 HUDRD--Qualitative Data Collection for Cohort 2 MTW Expansion--Rent Reform Experiment, FY22 Indian Community Development Block Grant (ICDBG and FY22 Indian Community Development Block Grant (ICDBG)--Imminent Threat (IT), FY22 Foster Youth to Independence Competitive (FYI Competitive), FY22 Choice Neighborhoods Planning Grants, Housing Opportunities for Persons with HIV/AIDS (HOPWA), Rural Capacity Building for Community Development and Affordable Housing Grants, Veterans Housing Rehabilitation and Modification Pilot Program, and FY 2022 Comprehensive Housing Counseling Grant Program.",89 FR 12854, 2024-03409,https://www.federalregister.gov/documents/2024/02/20/2024-03409/announcement-of-funding-awards,https://www.govinfo.gov/content/pkg/FR-2024-02-20/pdf/2024-03409.pdf,02/20/2024
"Request for Information for HUD's Community Development Block Grant Disaster Recovery (CDBG-DR) Rules, Waivers, and Alternative Requirements",Notice,Housing and Urban Development Department,"The U.S. Department of Housing and Urban Development (HUD) seeks public input to strengthen and improve requirements for entities receiving and implementing Community Development Block Grant Disaster Recovery (CDBG-DR) funding. This Request for Information (RFI) is to solicit feedback to inform how the Department can modify, expand, streamline, or remove CDBG-DR rules and requirements with the goals of expediting long-term resilient recovery, reducing, or eliminating barriers for impacted beneficiaries, ensuring equitable community recovery, and simplifying compliance for CDBG-DR grantees within its statutory authority. Additionally, HUD seeks information and recommendations to reduce the administrative burden for those receiving and implementing CDBG-DR funding after a disaster to accelerate the availability of assistance to disaster survivors and affected communities.",87 FR 77864, 2022-27547,https://www.federalregister.gov/documents/2022/12/20/2022-27547/request-for-information-for-huds-community-development-block-grant-disaster-recovery-cdbg-dr-rules,https://www.govinfo.gov/content/pkg/FR-2022-12-20/pdf/2022-27547.pdf,12/20/2022
Modernizing HUD's Consolidated Planning Process To Narrow the Digital Divide and Increase Resilience to Natural Hazards,Rule,Housing and Urban Development Department,"HUD's Consolidated Plan is a planning mechanism designed to help States and local governments to assess their affordable housing and community development needs and to make data-driven, place-based investment decisions. The Consolidated Planning process serves as the framework for a community-wide dialogue to identify housing and community development priorities that align and focus funding from HUD's formula block grant programs. This rule amends HUD's Consolidated Plan regulations to require that jurisdictions consider two additional concepts in their planning efforts. The first concept is how to address the need for broadband access for low- and moderate-income residents in the communities they serve. Broadband is the common term used to refer to a high-speed, always-on connection to the Internet. Such connection is also referred to as high-speed broadband or high-speed Internet. Specifically, the rule requires that States and localities that submit a Consolidated Plan describe the broadband access in housing occupied by low- and moderate- income households. If low-income residents in the communities do not have such access, States and jurisdictions must consider providing broadband access to these residents in their decisions on how to invest HUD funds. The second concept added to the Consolidated Plan process requires jurisdictions to consider incorporating resilience to natural hazard risks, taking care to anticipate how risks will increase due to climate change, into development of the plan in order to begin addressing impacts of climate change on low- and moderate-income residents.",81 FR 90997, 2016-30421,https://www.federalregister.gov/documents/2016/12/16/2016-30421/modernizing-huds-consolidated-planning-process-to-narrow-the-digital-divide-and-increase-resilience,https://www.govinfo.gov/content/pkg/FR-2016-12-16/pdf/2016-30421.pdf,12/16/2016
Request for Information Community Development Block Grant Disaster Recovery (CDBG-DR) Formula,Notice,Housing and Urban Development Department,The U.S. Department of Housing and Urban Development (HUD) seeks public input on the methodology HUD uses to calculate Community Development Block Grant-Disaster Recovery (CDBG-DR) allocation amounts. This Request for Information (RFI) is to solicit feedback to inform how the Department can improve the allocation formula in the event Congress appropriates funds for CDBG-DR in the future.,87 FR 77855, 2022-27548,https://www.federalregister.gov/documents/2022/12/20/2022-27548/request-for-information-community-development-block-grant-disaster-recovery-cdbg-dr-formula,https://www.govinfo.gov/content/pkg/FR-2022-12-20/pdf/2022-27548.pdf,12/20/2022
Floodplain Management and Protection of Wetlands; Minimum Property Standards for Flood Hazard Exposure; Building to the Federal Flood Risk Management Standard,Rule,Housing and Urban Development Department,"This final rule revises HUD's regulations governing floodplain management and the protection of wetlands to implement the Federal Flood Risk Management Standard (FFRMS) in accordance with the Executive Order titled ""Establishing a Federal Flood Risk Management Standard and a Process for Further Soliciting and Considering Stakeholder Input."" These revisions to HUD's regulations will improve the resilience of HUD-assisted or financed projects to the effects of climate change and natural disasters and provide for greater flexibility in the use of HUD assistance in floodways under certain circumstances. Among other revisions, this rule provides a process for determining the extent of the FFRMS floodplain, with a preference for a climate-informed science approach (CISA) to making this determination. The rule also revises HUD's floodplain and wetland regulations to streamline, improve overall clarity, and modernize standards. Also, this rule revises HUD's Minimum Property Standards for one-to-four-unit housing under HUD's mortgage insurance and low-rent public housing programs to require that the lowest floor in newly constructed structures located within the 1-percent-annual-chance (100-year) floodplain be built at least 2 feet above the base flood elevation (BFE) as determined by best available information. The rule also revises a categorical exclusion when HUD performs environmental reviews and updates various HUD environmental regulations to permit online posting of public notices.",89 FR 30850, 2024-06246,https://www.federalregister.gov/documents/2024/04/23/2024-06246/floodplain-management-and-protection-of-wetlands-minimum-property-standards-for-flood-hazard,https://www.govinfo.gov/content/pkg/FR-2024-04-23/pdf/2024-06246.pdf,04/23/2024
"Common Application, Waivers, and Alternative Requirements for Community Development Block Grant Disaster Recovery Grantees: The Universal Notice",Notice,Housing and Urban Development Department,"This notice contains a preamble and the Community Development Block Grant Disaster Recovery Universal Notice: Waivers and Alternative Requirements (the ""Universal Notice""). The Universal Notice describes the processes, procedures, timelines, waivers, and alternative requirements that U.S. Department of Housing and Urban Development (HUD) intends to implement with each allocation of Community Development Block Grant Disaster Recovery (CDBG-DR) funding after a qualifying presidential disaster declaration. Specifically, following the appropriation of CDBG-DR funds for qualifying disasters, HUD will publish an Allocation Announcement Notice in the Federal Register that incorporates, via cross-reference, the waivers and alternative requirements provided in the Universal Notice, as appropriate, along with any other new requirements imposed by the specific appropriation. This notice also describes the grant award process, pre-award certification submissions, criteria for Action Plan approval, and eligible disaster recovery activities to streamline post-disaster processes for future grantees. By publishing the Universal Notice, HUD intends to provide grantees and the public with increased transparency, consistency, and more timely access to CDBG-DR funds, helping to minimize program delays and accelerate recovery.",90 FR 1754, 2024-31621,https://www.federalregister.gov/documents/2025/01/08/2024-31621/common-application-waivers-and-alternative-requirements-for-community-development-block-grant,https://www.govinfo.gov/content/pkg/FR-2025-01-08/pdf/2024-31621.pdf,01/08/2025
Allocations for Community Development Block Grant Disaster Recovery and Implementation of the CDBG-DR Consolidated Waivers and Alternative Requirements Notice,Notice,Housing and Urban Development Department,"In March 2023, HUD allocated more than $3 billion in Community Development Block Grant Disaster Recovery (CDBG-DR) funds appropriated by the Continuing Appropriations Act, 2023 and the Department of Housing and Urban Development Appropriations Act, 2023 for major disasters occurring in 2022. This Allocation Announcement Notice identifies grant requirements for these funds, including requirements in HUD's CDBG-DR Consolidated Notice (""Consolidated Notice"") found in Appendix B, and a limited number of amendments to the Consolidated Notice that apply to CDBG-DR grants for disasters occurring in 2020, 2021, and 2022. The Consolidated Notice, as amended by this Allocation Announcement Notice, includes waivers and alternative requirements, relevant regulatory requirements, the grant award process, criteria for action plan approval, and eligible disaster recovery activities.",88 FR 32046, 2023-10598,https://www.federalregister.gov/documents/2023/05/18/2023-10598/allocations-for-community-development-block-grant-disaster-recovery-and-implementation-of-the,https://www.govinfo.gov/content/pkg/FR-2023-05-18/pdf/2023-10598.pdf,05/18/2023
Allocations for Community Development Block Grant Disaster Recovery and Implementation of the CDBG-DR Consolidated Waivers and Alternative Requirements Notice,Notice,Housing and Urban Development Department,"This Allocation Announcement Notice allocates $142 million of CDBG-DR funds appropriated by the Disaster Relief Supplemental Appropriations Act, 2023 for major disasters occurring in 2022 and 2023. This notice identifies grant requirements for these funds, including requirements in HUD's CDBG-DR Consolidated Notice (""Consolidated Notice"") found in appendix B, and a limited number of amendments to the Consolidated Notice that apply to CDBG-DR grants for disasters occurring in 2022 and January 2023. The Consolidated Notice, as amended by this Allocation Announcement Notice, includes waivers and alternative requirements, relevant regulatory requirements, the grant award process, criteria for action plan approval, and eligible disaster recovery activities.",88 FR 82982, 2023-25875,https://www.federalregister.gov/documents/2023/11/27/2023-25875/allocations-for-community-development-block-grant-disaster-recovery-and-implementation-of-the,https://www.govinfo.gov/content/pkg/FR-2023-11-27/pdf/2023-25875.pdf,11/27/2023
Allocations for Community Development Block Grant Disaster Recovery and Implementation of the CDBG-DR Consolidated Waivers and Alternative Requirements Notice,Notice,Housing and Urban Development Department,"In March 2022, HUD allocated nearly $3 billion in Community Development Block Grant Disaster Recovery (CDBG-DR) funds appropriated by the Disaster Relief Supplemental Appropriations Act, 2022 for major disasters occurring in 2020 and 2021. HUD allocated an additional $1.447 billion in CDBG-DR funds appropriated by the Continuing Appropriations Act, 2023 for major disasters occurring in 2021. This Allocation Announcement Notice identifies grant requirements for these funds, including requirements in HUD's CDBG-DR Consolidated Notice (""Consolidated Notice"") found in Appendix B, and some amendments to the Consolidated Notice that apply to CDBG-DR grants for disasters occurring in 2020 and 2021. The Consolidated Notice, as amended by this Allocation Announcement Notice, includes waivers and alternative requirements, relevant regulatory requirements, the grant award process, criteria for action plan approval, and eligible disaster recovery activities.",88 FR 3198, 2023-00721,https://www.federalregister.gov/documents/2023/01/18/2023-00721/allocations-for-community-development-block-grant-disaster-recovery-and-implementation-of-the,https://www.govinfo.gov/content/pkg/FR-2023-01-18/pdf/2023-00721.pdf,01/18/2023
"Request for Information Regarding Iron, Steel, Construction Materials, and Manufactured Products Used in Housing Programs Pursuant to the Build America, Buy America Act",Notice,Housing and Urban Development Department,"This Request for Information (RFI) seeks public input on the implementation of the Build America, Buy America Act (BABA or the Act) as it applies to HUD's Federal Financial Assistance (FFA) provided in support of the construction, alteration, maintenance, and repair of housing infrastructure projects in the United States. The purpose of this RFI is to improve HUD's understanding of the current state of the domestic market for products required in housing infrastructure projects. HUD is especially interested in comments detailing domestic materials sourcing, market readiness, other product supply considerations, and whether specific housing products or their components are manufactured in the United States.",89 FR 10090, 2024-02900,https://www.federalregister.gov/documents/2024/02/13/2024-02900/request-for-information-regarding-iron-steel-construction-materials-and-manufactured-products-used,https://www.govinfo.gov/content/pkg/FR-2024-02-13/pdf/2024-02900.pdf,02/13/2024
Final Determination: Adoption of Energy Efficiency Standards for New Construction of HUD- and USDA-Financed Housing,Notice,Housing and Urban Development Department; Agriculture Department,"The Energy Independence and Security Act of 2007 (EISA) establishes procedures for the U.S. Department of Housing and Urban Development (HUD) and the U.S. Department of Agriculture (USDA) to consider adopting periodic revisions to the International Energy Conservation Code (IECC) and to ANSI/ASHRAE/IES Standard 90.1: Energy Standard for Buildings, Except Low-Rise Residential Buildings (ASHRAE 90.1), subject to a determination by the agencies that the revised codes do not negatively affect the availability or affordability of new construction of single and multifamily housing covered by EISA, and a determination by the Secretary of Energy that the revised codes ""would improve energy efficiency."" At the time of developing the preliminary determination, the most recent editions of the codes for which DOE had issued efficiency determinations were ASHRAE 90.1-2019, and the 2021 IECC. This notice follows the notice of preliminary determination published on May 18, 2023, and announces the final determination of HUD and USDA as required under section 481(d)(1) of EISA. After consideration of public comments, HUD and USDA determine that the 2021 IECC and ASHRAE 90.1-2019 will not negatively affect the affordability and availability of housing covered by EISA.",89 FR 33112, 2024-08793,https://www.federalregister.gov/documents/2024/04/26/2024-08793/final-determination-adoption-of-energy-efficiency-standards-for-new-construction-of-hud--and,https://www.govinfo.gov/content/pkg/FR-2024-04-26/pdf/2024-08793.pdf,04/26/2024
Allocations for Community Development Block Grant Disaster Recovery and Implementation of the CDBG-DR Consolidated Waivers and Alternative Requirements Notice,Notice,Housing and Urban Development Department,"On March 22, 2022, HUD allocated nearly $3 billion in Community Development Block Grant Disaster Recovery (CDBG-DR) funds appropriated by the Disaster Relief Supplemental Appropriations Act, 2022 for major disasters occurring in 2020 and 2021. This Allocation Announcement Notice identifies grant requirements for these funds, including requirements in HUD's CDBG-DR Consolidated Notice (""Consolidated Notice"") (Appendix B), and some amendments to the Consolidated Notice that apply to CDBG-DR grants for disasters occurring in 2020 and 2021, as identified herein. The Consolidated Notice, as amended by this Allocation Announcement Notice, includes waivers and alternative requirements, relevant regulatory requirements, the grant award process, criteria for action plan approval, and eligible disaster recovery activities. This notice also includes a modification to the February 3, 2022 notice (87 FR 6364) that announced CDBG-DR grants for disasters occurring in 2020.",87 FR 31636, 2022-10969,https://www.federalregister.gov/documents/2022/05/24/2022-10969/allocations-for-community-development-block-grant-disaster-recovery-and-implementation-of-the,https://www.govinfo.gov/content/pkg/FR-2022-05-24/pdf/2022-10969.pdf,05/24/2022
Allocations for Community Development Block Grant Disaster Recovery and Implementation of the CDBG-DR Consolidated Waivers and Alternative Requirements Notice,Notice,Housing and Urban Development Department,"On October 29, 2021, HUD allocated over $2 billion in Community Development Block Grant Disaster Recovery (CDBG-DR) funds appropriated by the Disaster Relief Supplemental Appropriations Act, 2022. This Allocation Announcement Notice imposes HUD's CDBG-DR Consolidated Notice (""Consolidated Notice"") (Appendix B) and any amendments to the Consolidated Notice only on CDBG-DR grants for disasters occurring in 2020, as identified herein. The Consolidated Notice, as amended by this Allocation Announcement Notice, includes waivers and alternative requirements, relevant regulatory requirements, the grant award process, criteria for action plan approval, and eligible disaster recovery activities.",87 FR 6364, 2022-02209,https://www.federalregister.gov/documents/2022/02/03/2022-02209/allocations-for-community-development-block-grant-disaster-recovery-and-implementation-of-the,https://www.govinfo.gov/content/pkg/FR-2022-02-03/pdf/2022-02209.pdf,02/03/2022
Announcement of Funding Awards,Notice,Housing and Urban Development Department,"In accordance with the Department of Housing and Urban Development Reform Act of 1989, this announcement notifies the public of funding decisions made by the Department in competitions for funding under the Notice of Funding Opportunity (NOFO) for the following programs: FY2018 and FY2019 HUD Community Compass Technical Assistance and Capacity Building Program, FY2020 HOPWA Permanent Supportive Housing, FY2019 Family-Self Sufficiency-Renewal (FSS), FY2019 Resident Opportunity & Self Sufficiency Service Coordinator (ROSS-SC) Grant Program, FY2019 Jobs Plus Initiative, FY2019 and FY2020 Community Development Block Grant Program for Indian Tribes and Alaska Native Villages (ICDBG), FY2019 Choice Neighborhoods Implementation Grants, FY2019/2020 Housing Counseling Training Grant, FY2020 Supplemental Comprehensive Housing Counseling Grant Program, FY2020 Lead Hazard Reduction Grant Program, FY2020 Lead and Healthy Homes Technical Studies Grants Program Pre and Full Application, FY2020 Healthy Homes Production Grant Program for Tribal Housing, FY2019/2020 Cooperative Research in Housing Technologies FY2019/2020 Examining Long Term Outcomes Following Exit from HUD-Assisted Housing, FY2019/2020 Estimating the Prevalence and Probability of Homeless Youth, and FY2019/2020 Impact of Rental Assistance Demonstration (RAD) on Children in HUD Assisted Households.",86 FR 16605, 2021-06459,https://www.federalregister.gov/documents/2021/03/30/2021-06459/announcement-of-funding-awards,https://www.govinfo.gov/content/pkg/FR-2021-03-30/pdf/2021-06459.pdf,03/30/2021
